GENE_SET,GROUP_ID,SPECIES.CLUSTER,SPECIES,CLUSTER,ENSEMBL,external_gene_name,description
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000189067,LITAF,lipopolysaccharide induced TNF factor
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000196498,NCOR2,nuclear receptor corepressor 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000196562,SULF2,sulfatase 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000197965,MPZL1,myelin protein zero like 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000198836,OPA1,"OPA1, mitochondrial dynamin like GTPase"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000198911,SREBF2,sterol regulatory element binding transcription factor 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000204681,GABBR1,gamma-aminobutyric acid type B receptor subunit 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000211455,STK38L,serine/threonine kinase 38 like
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000244687,UBE2V1,ubiquitin conjugating enzyme E2 V1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000254999,BRK1,"BRICK1, SCAR/WAVE actin nucleating complex subunit"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000266412,NCOA4,nuclear receptor coactivator 4
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000000632,Sez6,seizure related gene 6
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000001418,Glmp,glycosylated lysosomal membrane protein
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000001506,Col1a1,"collagen, type I, alpha 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000001552,Jup,junction plakoglobin
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000002981,Clptm1,cleft lip and palate associated transmembrane protein 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000003955,Fam162a,"family with sequence similarity 162, member A"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000004285,Atp6v1f,"ATPase, H+ transporting, lysosomal V1 subunit F"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000004558,Ndrg2,N-myc downstream regulated gene 2
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000007891,Ctsd,cathepsin D
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000013033,Adgrl1,adhesion G protein-coupled receptor L1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000015575,Atp6v0e,"ATPase, H+ transporting, lysosomal V0 subunit E"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000016382,Pls3,plastin 3 (T-isoform)
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000017390,Aldoc,"aldolase C, fructose-bisphosphate"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000017631,Abr,active BCR-related gene
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000018340,Anxa6,annexin A6
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000019818,Cd164,CD164 antigen
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000020277,Pfkl,"phosphofructokinase, liver, B-type"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000020315,Sptbn1,"spectrin beta, non-erythrocytic 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000020538,Srebf1,sterol regulatory element binding transcription factor 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000020766,Galk1,galactokinase 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000020875,Hoxb9,homeobox B9
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000021196,Pfkp,"phosphofructokinase, platelet"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000022884,Eif4a2,eukaryotic translation initiation factor 4A2
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000023175,Bsg,basigin
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000023456,Tpi1,triosephosphate isomerase 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000024026,Glo1,glyoxalase 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000024661,Fth1,ferritin heavy polypeptide 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000024665,Fads2,fatty acid desaturase 2
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000025161,Slc16a3,"solute carrier family 16 (monocarboxylic acid transporters), member 3"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000025351,Cd63,CD63 antigen
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000025579,Gaa,"glucosidase, alpha, acid"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000026249,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000026478,Lamc1,"laminin, gamma 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000026817,Ak1,adenylate kinase 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000027642,Rpn2,ribophorin II
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000027864,Ptgfrn,prostaglandin F2 receptor negative regulator
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000028757,Ddost,dolichyl-di-phosphooligosaccharide-protein glycotransferase
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000029086,Prom1,prominin 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000029661,Col1a2,"collagen, type I, alpha 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000029761,Cald1,caldesmon 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000030088,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000030647,Ndufc2,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000030894,Tpp1,tripeptidyl peptidase I
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031007,Atp6ap2,"ATPase, H+ transporting, lysosomal accessory protein 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031099,Smarca1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031217,Efnb1,ephrin B1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031447,Lamp1,lysosomal-associated membrane protein 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031557,Plekha2,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031740,Mmp2,matrix metallopeptidase 2
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000031749,St3gal2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000032085,Tagln,transgelin
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000033685,Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000034341,Wbp2,WW domain binding protein 2
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000034403,Pja1,"praja ring finger 1, E3 ubiquitin protein ligase"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000034708,Grn,granulin
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000034993,Vat1,vesicle amine transport 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000035637,Grhpr,glyoxylate reductase/hydroxypyruvate reductase
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000035783,Acta2,"actin, alpha 2, smooth muscle, aorta"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000035885,Cox8a,cytochrome c oxidase subunit VIIIa
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000035914,Cd276,CD276 antigen
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000036427,Gpi1,glucose phosphate isomerase 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000036879,Phkb,phosphorylase kinase beta
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000037706,Cd81,CD81 antigen
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000038112,AW551984,expressed sequence AW551984
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000038267,Slc22a23,"solute carrier family 22, member 23"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000038370,Pcp4l1,Purkinje cell protein 4-like 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000038886,Man2a2,"mannosidase 2, alpha 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000039470,Zdhhc2,"zinc finger, DHHC domain containing 2"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000039952,Dag1,dystroglycan 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000040659,Efhd2,EF hand domain containing 2
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000041120,Nbl1,"neuroblastoma, suppression of tumorigenicity 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000044349,Snhg11,small nucleolar RNA host gene 11
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000045414,1190002N15Rik,RIKEN cDNA 1190002N15 gene
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000046668,Cxxc5,CXXC finger 5
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000049422,Chchd10,coiled-coil-helix-coiled-coil-helix domain containing 10
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000050271,Prag1,PEAK1 related kinase activating pseudokinase 1
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000052397,Ezr,ezrin
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000052459,Atp6v1a,"ATPase, H+ transporting, lysosomal V1 subunit A"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000057897,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000058254,Tspan7,tetraspanin 7
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000060429,Sntb1,"syntrophin, basic 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000068748,Ptprz1,"protein tyrosine phosphatase, receptor type Z, polypeptide 1"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000071658,Gng3,"guanine nucleotide binding protein (G protein), gamma 3"
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000075702,Selenom,selenoprotein M
HQ_TPMRANGE50,GROUP_1,M12,mouse,12,ENSMUSG00000079426,Arpc4,"actin related protein 2/3 complex, subunit 4"
